(4)

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1024 = 30 Hz

pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	-91.96

20,	666,	120,	822.06

30,	1012,	183,	1184.15

40,	1158,	209,	1186.48

50,	1224,	222,	1368.48

60,	1302,	236,	1367.94

70,	1343,	243,	1460.87

80,	1369,	248,	1550.33

90,	1363,	247,	1549.11

100,	1388,	251,	1552.78

110,	1429,	259,	1552.17

120,	1439,	260,	1644.12

130,	1457,	264,	1639.59

140,	1454,	263,	1643.47

150,	1459,	264,	1642.18

160,	1468,	266,	1731.36

170,	1470,	266,	1641.53

180,	1471,	267,	1641.53

190,	1480,	268,	1733.41

200,	1529,	277,	1641.53

210,	1507,	273,	1735.46

220,	1505,	273,	1642.18

230,	1503,	272,	1733.41

240,	1514,	274,	1729.99

250,	1522,	276,	1735.46

260,	1523,	276,	1732.72

pwm,intr,RPM,speed

260,	1516,	274,	1640.88

250,	1514,	274,	1735.46

240,	1508,	273,	1822.48

230,	1520,	275,	1734.78

220,	1534,	278,	1735.46

210,	1535,	278,	1826.80

200,	1526,	277,	1735.46

190,	1522,	276,	1734.78

180,	1508,	273,	1734.09

170,	1493,	271,	1642.82

160,	1490,	270,	1733.41

150,	1484,	269,	1735.46

140,	1486,	269,	1733.41

130,	1476,	267,	1734.78

120,	1465,	265,	1644.12

110,	1444,	262,	1641.53

100,	1426,	258,	1644.12

90,	1408,	255,	1644.12

80,	1383,	250,	1552.78

70,	1360,	246,	1550.33

60,	1314,	238,	1460.29

50,	1267,	230,	1458.56

40,	1200,	217,	1278.26

30,	1071,	194,	1276.74

20,	871,	158,	913.40

10,	475,	86,	547.18

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 256 = 122 Hz

pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	-99,	-17,	-91.23

40,	936,	169,	1186.02

50,	1176,	213,	1366.32

60,	1258,	228,	1457.41

70,	1322,	240,	1459.14

